CPU_Mean,PackRecv_Mean,PodsNumber_Mean,StressRate_Mean
1.73491134265828,0.568787146333746,10,1
1.82963122528588,0.551981260730161,11,1
1.85670413981814,0.478015498560157,12,1
1.63299745038443,0.432264195816215,13,1
1.74725699006409,0.401011394454941,14,1
1.75086619043052,0.363409754774973,15,1
1.56750002954336,0.323745698608244,16,1
1.93654698403819,0.335285234953373,17,1
1.81546329016684,0.29880704404578,18,1
1.6305336886301,0.307147792183888,19,1
6.36582307045973,6.05160876407189,1,1
1.5893543029,0.278071299158513,20,1
3.75172017780493,3.18832823434982,2,1
2.53202186978343,2.09113389883802,3,1
1.86262949025256,1.59479915756947,4,1
2.23964291693329,1.21926812039555,5,1
2.02806079604688,1.01373744490927,6,1
1.3846389460037,0.930920347611127,7,1
1.97699006625434,0.853906434186495,8,1
1.72542852400368,0.787062266377026,9,1
1.92161385532017,1.81490374143703,10,3
2.02970867905121,1.64992312051908,11,3
1.89978310230513,1.56074537596264,12,3
2.04709775645601,1.40431447998737,13,3
1.7069594362092,1.14941524437167,14,3
2.14344776336356,1.14928440363326,15,3
2.34478137550084,1.11340647278398,16,3
2.28492839886105,1.0545450535729,17,3
2.75994009922035,1.0617139187336,18,3
1.91578297546545,0.893358856762759,19,3
12.0600963029291,18.0603805532827,1,3
1.80040206333791,0.910103882379078,20,3
7.43934532791115,8.59253066365505,2,3
5.34840591953668,5.73787078232646,3,3
4.28261716562796,4.52785414111366,4,3
3.43317577505787,3.85305473283213,5,3
3.02954339696194,2.93807774850358,6,3
2.5339341708001,2.51350951495776,7,3
2.60248021756163,2.16166628855259,8,3
2.38590767551713,2.0005054051152,9,3
2.88963136056498,2.8444958694899,10,5
2.73602598383999,2.7273320073943,11,5
3.03778515894313,2.58028756466202,12,5
2.40091375419153,2.26538474552798,13,5
2.42647157716459,2.13681875828166,14,5
2.53048809562738,2.09368319665607,15,5
2.17900081996107,1.88689072317042,16,5
2.21295124412274,1.8156352369432,17,5
3.13461470134054,1.77727126969083,18,5
2.00008354226886,1.64767727522403,19,5
18.9549885932311,30.1867600457456,1,5
2.22467989455353,1.50302080121025,20,5
11.1971208541592,14.335243018703,2,5
8.21273260246507,10.296679531707,3,5
6.59222152115905,7.20008342688851,4,5
5.20719967342048,6.03819628983178,5,5
5.01072038560461,5.05232027951877,6,5
4.04209635277051,4.26087505893217,7,5
3.97807535623071,3.80244189522199,8,5
2.75743835173518,3.08078813251288,9,5
3.79401212825025,4.01022451294263,10,7
3.43557995309601,3.62696282809006,11,7
3.25525671571138,3.43934721574963,12,7
2.92381077536242,3.31523646658788,13,7
2.96862895305294,2.95459411021121,14,7
3.27138837681533,2.75164876251629,15,7
2.9161090882147,2.59488311029549,16,7
3.05991357133527,2.53810496223945,17,7
3.37612914678571,2.40521969767463,18,7
2.50262775453396,2.12853475252064,19,7
25.6300022779042,41.9029302505964,1,7
2.70299368381168,2.15841710738159,20,7
16.1181657079386,20.9632384815922,2,7
10.4748271156041,13.8104887656809,3,7
8.35577773287314,10.4939642903365,4,7
7.35016320825412,8.19692965829925,5,7
5.75698523263704,7.14852862748095,6,7
5.38257898345405,5.79383488594905,7,7
4.81327436795837,5.31219974288537,8,7
4.13139161283086,4.50175719578329,9,7
4.80039839002839,5.45116645972942,10,9
4.31735579055991,4.76058549262092,11,9
4.01041507482626,4.73678043504119,12,9
3.68860620687518,3.98512388762929,13,9
4.00378483513842,3.72591689551297,14,9
3.76925247261217,3.58932054867899,15,9
3.56699607763138,3.42717146128123,16,9
3.52376217781558,3.13822260325441,17,9
4.26358089182246,3.01109842374615,18,9
3.27195272085954,2.93430409573711,19,9
27.9405622771339,53.1468475540541,1,9
3.35745332143362,2.76001610777808,20,9
19.0544685051789,27.4752992805983,2,9
11.9998881547328,17.6784792103375,3,9
10.5515342934914,13.47219898155,4,9
9.18219203784686,10.7031308088234,5,9
7.25046654271747,8.90408288130263,6,9
6.29625330332703,7.78654770561251,7,9
5.41942292378023,6.54014848763209,8,9
5.03225264640476,5.54663963370528,9,9
5.65914553426849,6.34542182309747,10,11
5.6532992754683,5.90596537791085,11,11
5.05933929131715,5.63713871740555,12,11
4.43654008688945,4.92378078131147,13,11
4.25119146068648,4.64227206693119,14,11
4.05917664008381,4.2040156174571,15,11
4.28010397396308,4.14141691616086,16,11
5.2274714454922,3.9112145180002,17,11
5.39758414238036,3.7318701386455,18,11
3.54556101673341,3.40894938394444,19,11
37.0667030695417,66.6838430358825,1,11
3.45794201645909,3.46274269486902,20,11
20.7011961869047,32.4227743472409,2,11
14.2374916201869,21.8538759064435,3,11
11.5150768271666,16.8223197376225,4,11
9.65329858062227,12.8183262127611,5,11
8.24089553166956,11.2338566515039,6,11
7.74807526181149,10.0140759001021,7,11
7.15423855695336,8.22984591150448,8,11
6.2244972360743,7.45960241795792,9,11
6.68303534212641,7.70992844119889,10,13
6.17947025220445,6.87552908992794,11,13
5.60612259081036,6.50615819948012,12,13
5.46395108938341,6.00613804040309,13,13
5.1832391026705,5.67583611320362,14,13
5.13970211368443,5.2072341137557,15,13
4.69603934670356,4.8954214562803,16,13
6.63276088556823,4.62742236145948,17,13
3.97811744762094,4.33557151867585,18,13
4.22779917040184,4.05098995247599,19,13
42.0609191968878,77.1645038382453,1,13
4.02603254011616,3.99282829171053,20,13
22.1506798613229,38.228573571876,2,13
15.6112173384843,24.5285983229447,3,13
12.3310357256619,19.2787516180792,4,13
10.0797962646936,14.9335578565583,5,13
9.5291621851478,13.0396824151109,6,13
8.69974801306788,11.2982977454408,7,13
7.89573102586384,9.10727982859347,8,13
7.92987335454366,8.43374139220658,9,13
7.69873799512373,9.06666079450157,10,15
6.95485401276589,8.13123697009977,11,15
6.04095919413171,7.502944892247,12,15
5.77001053170613,6.75487736986029,13,15
5.49727694288719,6.24278828106902,14,15
5.78278096409085,6.17839593292726,15,15
5.16022418842948,5.5415602870504,16,15
6.98912753141374,5.13984932649546,17,15
5.24872835074253,5.10622622251291,18,15
4.57428732328209,4.72126837850531,19,15
48.5641976007079,89.5022043033508,1,15
4.29036144349351,4.42352210352216,20,15
23.9804214922189,44.1355735293764,2,15
17.9228784825049,29.8894359516104,3,15
14.5648596772427,22.1806892531221,4,15
12.0499655277488,18.3161992488864,5,15
10.2167793899616,14.778421691826,6,15
9.47064319641797,12.5240887976368,7,15
9.2606627249284,11.0037662630823,8,15
8.51319608334375,9.81796009376123,9,15
8.11048358812005,10.3004840630063,10,17
8.02719911664845,8.7895628623161,11,17
7.00263657654197,8.28424868085879,12,17
6.61701918152554,7.69103514779543,13,17
6.26966625348748,7.19926683094802,14,17
6.26251682456602,6.77933752626647,15,17
5.55581144758536,6.13070537061636,16,17
5.89120821814815,5.96984946808879,17,17
5.15361487302593,5.58990185434185,18,17
5.01415331326278,5.23253645972769,19,17
49.7684582380764,99.8430747604974,1,17
4.70282416772406,5.00414068442031,20,17
30.3766149851471,52.1484824197058,2,17
19.5580615355841,33.1827585500533,3,17
15.3978132526845,25.3297188710565,4,17
12.797234723757,19.7326941719629,5,17
11.7671176198257,16.6890358709634,6,17
10.3471466007345,14.6383128612288,7,17
9.24265585128444,12.4568467052513,8,17
8.80434741282412,11.288651231472,9,17
8.83560147720531,11.3115713210717,10,19
8.57401620504835,10.322527239511,11,19
7.70087745350537,9.39265586335878,12,19
6.91035009211147,8.53240146906803,13,19
6.94087066585513,8.31311528143252,14,19
6.99805503277647,7.73419898410655,15,19
6.51094493050796,7.19027970577523,16,19
6.71801860572259,6.63645657023973,17,19
5.72467630575426,6.30793525223661,18,19
5.58881555353927,6.18621722126359,19,19
53.4047316497839,107.636486426241,1,19
5.09985479650116,5.57406086443226,20,19
32.498577119759,56.9628939721832,2,19
20.9255644002486,37.4822522240198,3,19
16.6475814354169,28.2383154298079,4,19
15.0337999010292,22.5932776889848,5,19
12.8281408795921,18.3238097556799,6,19
11.5805928099768,16.459213834106,7,19
9.976912083329,14.0254733003815,8,19
